,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
1681,5,1,1,1,0,1.8,2219996,8 reviews
1682,1,5,5,15,54,4.4,1860055,80 reviews
1683,0,2,6,6,40,4.6,1901339,54 reviews
1684,0,3,3,5,25,4.4,1902527,36 reviews
1685,0,0,0,0,7,5,2225647,7 reviews
1686,4,4,5,8,21,3.9,2101129,42 reviews
1687,2,9,6,12,70,4.4,1618248,99 reviews
1688,13,23,19,29,81,3.9,1677459,165 reviews
1689,8,2,2,2,10,3.2,2184109,24 reviews
1690,0,0,2,10,37,4.7,2111177,49 reviews
1691,0,0,1,1,7,4.7,2158186,9 reviews
1692,3,1,1,3,7,3.7,2121085,15 reviews
1693,6,14,55,253,247,4.3,2068096,575 reviews
1694,0,2,1,4,19,4.5,1821693,26 reviews
1695,38,42,60,196,341,4.1,1904192,677 reviews
1696,8,6,7,11,22,3.6,2084325,54 reviews
1697,2,0,0,0,9,4.3,2017358,11 reviews
1698,2,4,10,7,28,4.1,2061190,51 reviews
1699,5,10,14,6,22,3.5,1966183,57 reviews
1700,2,1,2,5,5,3.7,1908631,15 reviews
1701,198,143,117,180,370,3.4,1899699,"1,008 reviews"
1702,0,0,4,1,10,4.4,2131936,15 reviews
1703,2,3,5,11,34,4.3,1783786,55 reviews
1704,1,1,0,3,5,4,2071215,10 reviews
1705,3,6,4,5,6,3.2,2125169,24 reviews
1706,1,0,0,1,14,4.7,2132769,16 reviews
1707,1,0,0,0,2,3.7,2198943,3 reviews
1708,163,120,104,139,244,3.2,1958776,770 reviews
1709,3,0,0,0,3,3,2110633,6 reviews
1710,1,4,1,3,20,4.3,1945336,29 reviews
1711,4,1,3,6,9,3.7,1935857,23 reviews
1712,11,10,17,67,117,4.2,2032258,222 reviews
1713,0,1,0,0,5,4.5,2131258,6 reviews
1714,2,1,5,5,8,3.8,2179208,21 reviews
1715,0,0,1,0,2,4.3,2185486,3 reviews
1716,4,8,8,19,18,3.7,1860212,57 reviews
1717,1,0,1,0,2,3.5,2158152,4 reviews
1718,0,0,1,3,15,4.7,1970805,19 reviews
1719,18,13,17,21,45,3.5,2031656,114 reviews
1720,0,1,0,2,12,4.7,2072874,15 reviews
1721,0,0,0,1,1,4.5,2185494,2 reviews
1722,8,5,7,3,9,3,2120053,32 reviews
1723,1,0,2,1,11,4.4,1967280,15 reviews
1724,1,1,2,1,3,3.5,1753243,8 reviews
1725,1,0,4,7,17,4.3,1950542,29 reviews
1726,1,4,4,7,10,3.8,1950146,26 reviews
1727,8,5,8,15,75,4.3,2026839,111 reviews
1728,0,0,0,1,8,4.9,1938448,9 reviews
1729,0,1,0,1,0,3,2185460,2 reviews
